mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,param_clf__solver,param_pre__txt__tfidf__max_features,param_pre__txt__tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.6738551457722982,0.018524556554625496,0.2967362403869629,0.026981125337530085,0.5,,l2,liblinear,10000,"(1, 1)","{'clf__C': 0.5, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear', 'pre__txt__tfidf__max_features': 10000, 'pre__txt__tfidf__ngram_range': (1, 1)}",0.9214269060387037,0.9190643274853801,0.9227357609710551,0.921075664831713,0.0015192945180905815,20,0.930017011790931,0.932612654955643,0.9297772567409144,0.9308023078291628,0.0012838453073400417
1.4183742205301921,0.03807585706190182,0.4414866765340169,0.03945388746712214,0.5,,l2,liblinear,10000,"(1, 2)","{'clf__C': 0.5, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear', 'pre__txt__tfidf__max_features': 10000, 'pre__txt__tfidf__ngram_range': (1, 2)}",0.919726630371829,0.9192647743136343,0.9194202898550725,0.9194705648468453,0.0001918739789915969,25,0.9287672831223382,0.9318221650990244,0.9277894246447705,0.9294596242887111,0.0017176051371671944
0.6863211790720621,0.034536800190930333,0.2736027240753174,0.011227243017116174,0.5,,l2,liblinear,20000,"(1, 1)","{'clf__C': 0.5, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear', 'pre__txt__tfidf__max_features': 20000, 'pre__txt__tfidf__ngram_range': (1, 1)}",0.9214269060387037,0.9190643274853801,0.9227357609710551,0.921075664831713,0.0015192945180905815,20,0.930017011790931,0.932612654955643,0.9297772567409144,0.9308023078291628,0.0012838453073400417
1.578973929087321,0.13136634722638227,0.4081929524739583,0.015338344812169214,0.5,,l2,liblinear,20000,"(1, 2)","{'clf__C': 0.5, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear', 'pre__txt__tfidf__max_features': 20000, 'pre__txt__tfidf__ngram_range': (1, 2)}",0.9170607913254124,0.9174375578168362,0.9163300634737449,0.9169428042053313,0.0004597656289702504,32,0.9255843628559828,0.9271123491179202,0.9247423874030335,0.9258130331256454,0.0009809509677443501
0.8297115961710612,0.0672468380521446,0.2609623273213704,0.020050324960138075,0.5,,l2,lbfgs,10000,"(1, 1)","{'clf__C': 0.5, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'pre__txt__tfidf__max_features': 10000, 'pre__txt__tfidf__ngram_range': (1, 1)}",0.9213195011073552,0.9187229563793708,0.9226280779554207,0.9208901784807155,0.0016229052281307172,23,0.9301261366969786,0.9323308270676691,0.9297227595099935,0.9307265744248804,0.0011462687861538443
1.5671447118123372,0.04728848623898777,0.4549977779388428,0.0953608915446794,0.5,,l2,lbfgs,10000,"(1, 2)","{'clf__C': 0.5, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'pre__txt__tfidf__max_features': 10000, 'pre__txt__tfidf__ngram_range': (1, 2)}",0.9201714749160005,0.9191766484474939,0.9184618948343757,0.9192700060659567,0.0007010481426958025,28,0.928929863461314,0.9318845659539666,0.9275193572800838,0.9294445955651215,0.001818877592665863
0.8335649967193604,0.04004375358425075,0.31427939732869464,0.058840626622981396,0.5,,l2,lbfgs,20000,"(1, 1)","{'clf__C': 0.5, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'pre__txt__tfidf__max_features': 20000, 'pre__txt__tfidf__ngram_range': (1, 1)}",0.9213195011073552,0.9187229563793708,0.9226280779554207,0.9208901784807155,0.0016229052281307172,23,0.9301261366969786,0.9323308270676691,0.9297227595099935,0.9307265744248804,0.0011462687861538443
1.6587342421213787,0.07382013411595044,0.39947017033894855,0.005849989703318315,0.5,,l2,lbfgs,20000,"(1, 2)","{'clf__C': 0.5, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'pre__txt__tfidf__max_features': 20000, 'pre__txt__tfidf__ngram_range': (1, 2)}",0.9174460223992611,0.9173314834084866,0.9164358264081256,0.9170711107386245,0.0004516410304175345,31,0.9261838440111421,0.9269424940521094,0.9247785048352539,0.9259682809661683,0.0008964979652088425
0.6464489301045736,0.02682965855830938,0.2664632797241211,0.0008876360735976936,0.5,balanced,l2,liblinear,10000,"(1, 1)","{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear', 'pre__txt__tfidf__max_features': 10000, 'pre__txt__tfidf__ngram_range': (1, 1)}",0.9093782929399368,0.90527420624508,0.9070680628272252,0.907240187337414,0.0016799011945113167,45,0.925850384893743,0.9282145674467526,0.9257285704887837,0.926597840943093,0.0011442794320852912
1.5113983949025471,0.11194567596438162,0.43825658162434894,0.061885005181668354,0.5,balanced,l2,liblinear,10000,"(1, 2)","{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear', 'pre__txt__tfidf__max_features': 10000, 'pre__txt__tfidf__ngram_range': (1, 2)}",0.9139798981856154,0.9107491856677524,0.9161038961038961,0.913610993319088,0.0022015599112367554,35,0.9362258233141663,0.9381732715283672,0.9366063850623491,0.9370018266349608,0.0008427807800216369
